taxcode,activestatus
0700888119,NNT đang hoạt động (đã được cấp GCN ĐKT)
0601274213,NNT đang hoạt động (đã được cấp GCN ĐKT)
3603992896,NNT đang hoạt động (đã được cấp GCN ĐKT)
3703251362,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318310740,NNT đang hoạt động (đã được cấp GCN ĐKT)
6101296682,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318765508,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318759462,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318762190,NNT đang hoạt động (đã được cấp GCN ĐKT)
4401114234,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318759021,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318259163,NNT đang hoạt động (đã được cấp GCN ĐKT)
3801301357,NNT đang hoạt động (đã được cấp GCN ĐKT)
2700962366,NNT đang hoạt động (đã được cấp GCN ĐKT)
1702122829-002,NNT đang hoạt động (đã được cấp GCN ĐKT)
2902188995,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318765106,NNT đang hoạt động (đã được cấp GCN ĐKT)
0314840987-001,NNT đang hoạt động (đã được cấp GCN ĐKT)
1201682805,NNT đang hoạt động (đã được cấp GCN ĐKT)
0801247665-001,NNT đang hoạt động (đã được cấp GCN ĐKT)
4101640204,NNT đang hoạt động (đã được cấp GCN ĐKT)
0110767231,NNT đang hoạt động (đã được cấp GCN ĐKT)
0317023888-002,NNT đang hoạt động (đã được cấp GCN ĐKT)
0601260443,NNT đang hoạt động (đã được cấp GCN ĐKT)
3603990024,NNT đang hoạt động (đã được cấp GCN ĐKT)
3002274587,NNT đang hoạt động (đã được cấp GCN ĐKT)
1102048690,NNT đang hoạt động (đã được cấp GCN ĐKT)
3603949107,NNT đang hoạt động (đã được cấp GCN ĐKT)
0318718579,NNT đang hoạt động (đã được cấp GCN ĐKT)
4900916459,NNT đang hoạt động (đã được cấp GCN ĐKT)
